personality_type,interaction_type,model,intellect,conscientiousness,extroversion,agreeableness,emotional_stability
INTELLECT,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,36,27,23,39,15
EXTROVERSION,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,32,29,36,37,15
AGREEABLENESS,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,33,30,20,40,22
CONSCIENTIOUSNESS,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,31,39,15,34,18
NO_PERSONALITY,ALL_AT_ONCE,gpt-4o-2024-05-13,37,30,23,36,13
EMOTIONAL_STABILITY,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,32,38,22,40,30
EMOTIONAL_STABILITY,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,35,34,19,39,39
INTELLECT,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,39,29,24,39,19
EXTROVERSION,ALL_AT_ONCE,gpt-4o-2024-05-13,30,27,35,37,13
CONSCIENTIOUSNESS,ALL_AT_ONCE,gpt-4o-2024-05-13,30,36,19,30,12
NO_PERSONALITY,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,31,29,16,32,19
EXTROVERSION,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,39,32,38,40,10
EMOTIONAL_STABILITY,ALL_AT_ONCE,gpt-4o-2024-05-13,30,36,29,31,33
INTELLECT,ALL_AT_ONCE,gpt-4o-2024-05-13,39,30,29,37,12
AGREEABLENESS,ALL_AT_ONCE,gpt-4o-2024-05-13,29,30,21,40,20
NO_PERSONALITY,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,30,28,18,31,18
CONSCIENTIOUSNESS,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,30,38,12,31,19
AGREEABLENESS,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,29,30,21,39,20
EMOTIONAL_STABILITY,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,31,36,15,35,30
INTELLECT,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,39,28,15,38,9
EXTROVERSION,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,31,30,37,40,22
NO_PERSONALITY,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,29,28,16,31,16
